phase,-,-,time_sonar,-,h_sonar,-,-,time_pose,-,x,y,z,-,quat_x,quat_y,quat_z,quat_w,-,-,time_vel,-,x_dot,y_dot,z_dot,-,ang_x_dot,ang_y_dot,ang_z_dot,-,-,time_imu,x_dot2,y_dot2,z_dot2,-,-,in_x_dot,in_y_dot,in_z_dot
0,,,1518885435597505792,,0.09000000357627869,,,1518885435605505792,,0.031497448682785034,0.004628899507224553,-0.020309980958700177,,0.008306219574280321,-0.013906325995116852,-0.012739601458842398,-0.9997876892097796,,,1518885435605505792,,0.005320743657648573,0.011279636062681673,-0.05729639157652855,,0.0012691208394244313,-0.0016785492189228541,-0.004648357629776001,,,1518885435628505792,-0.2562499940395355,0.001591262640432718,9.754134178161621,,,0,0,0.5
0,,,1518885435597505792,,0.09000000357627869,,,1518885435641505792,,0.03152492269873619,0.004938732832670205,-0.0204352643340826,,0.008289934756414671,-0.013925574263268424,-0.012671997913830835,-0.9997884478530528,,,1518885435641505792,,0.005790865048766146,0.01295193377882242,-0.05747953802347183,,-0.0019863068591803312,0.014534061774611473,0.0028671440668404085,,,1518885435646505792,-0.2663401663303375,-0.08598938584327578,9.751791000366211,,,0,0,0.5
0,,,1518885435716913489,,0.09000000357627869,,,1518885435672505792,,0.03145667910575867,0.005148681811988347,-0.020364861935377118,,0.008331316376207288,-0.013922132709669707,-0.012714945552463386,-0.9997875627692341,,,1518885435672505792,,0.004095911514014016,0.013908850029110907,-0.05880255252122879,,0.004064198583364487,-0.002556669060140848,0.0010207085870206358,,,1518885435726913489,-0.25715741515159607,-0.14368931949138522,9.810606002807617,,,0,0,0.5
0,,,1518885435716913489,,0.09000000357627869,,,1518885435757913489,,0.03145818039774895,0.005589882843196385,-0.020754350349307057,,0.008269249873418932,-0.013885480756533421,-0.012700742064515325,-0.9997887850278409,,,1518885435757913489,,0.005185325630009185,0.013407739810645579,-0.06226518377661705,,-0.008334496058523655,-0.004815666470676661,-0.0059736091643571845,,,1518885435766913489,-0.23608261346817017,-0.07956492155790208,9.856947898864746,,,0,0,0.5
0,,,1518885435716913489,,0.09000000357627869,,,1518885435825130304,,0.03151264414191246,0.00592055777087807,-0.021612968295812603,,0.008265275228041002,-0.013834688206449475,-0.012710014371187683,-0.9997893750837201,,,1518885435825130304,,0.006309334188699733,0.011067513376474379,-0.06182163208723068,,0.007709944155067205,-0.0007075811736285681,0.0041314465925097466,,,1518885435808130304,-0.2108287811279297,-0.19541074335574982,9.875957489013672,,,0,0,0.5
0,,,1518885435786130304,,0.09000000357627869,,,1518885435861130304,,0.031581729650497437,0.006008266471326344,-0.021751405671238896,,0.00827284223370998,-0.013832597656908883,-0.012725482264591192,-0.9997891643494775,,,1518885435861130304,,0.006780786439776431,0.011146641336381434,-0.061620622873306274,,0.005255429539829493,0.0024510850198566905,-0.007409893441945314,,,1518885435868130304,-0.16930587589740753,-0.14290612936019778,9.82078742980957,,,0,0,0.5
0,,,1518885435786130304,,0.09000000357627869,,,1518885435910376191,,0.0317484475672245,0.006192903500050299,-0.022645918652415272,,0.00819951066856807,-0.013791969412033398,-0.012761517820068013,-0.999789880845902,,,1518885435910376191,,0.007846253924071797,0.010585014708340166,-0.06341119110584259,,0.004281436093151569,0.0042861062102019796,0.007438530679792165,,,1518885435924376191,-0.3182942569255829,-0.31140673160552856,9.84622859954834,,,0,0,0.5
0,,,1518885435919376191,,0.07999999821186066,,,1518885435972376191,,0.0319778136909008,0.006252957973629229,-0.023241680115461346,,0.008063631533874726,-0.013762660559433374,-0.012721183286043103,-0.9997918617477821,,,1518885435972376191,,0.005584118887782105,0.006146304309368133,-0.04916887357831001,,0.017090847715735435,-0.0018975327257066959,0.004916928708553314,,,1518885435958376191,-0.2818721830844879,-0.16035392880439633,10.228596687316895,,,0,0,0.5
0,,,1518885435919376191,,0.07999999821186066,,,1518885436008094976,,0.032070137560367584,0.006223760079592459,-0.02277056127786636,,0.006952994245528347,-0.013234143688918319,-0.012694925799420775,-0.9998076668159738,,,1518885436008094976,,0.0054702102206647405,0.004244998097419738,-0.00021160300821065835,,0.09585580974817276,-0.0643354132771492,0.005380257498472937,,,1518885436023094976,-0.2864624857902527,-0.015719130635260037,12.243521690368652,,,0,0,0.5
0,,,1518885436043094976,,0.11999999731779099,,,1518885436047094976,,0.032178983092308044,0.006098769605159753,-0.01941556669771671,,0.004808750607751088,-0.011077999493337303,-0.012829584980413089,-0.9998447981895119,,,1518885436047094976,,0.006737661547958841,0.0042984257452189905,0.08428593724966049,,0.09582050144672394,-0.145407572388649,0.008659574203193205,,,1518885436063094976,-0.3366525173187256,-0.12467226386070095,12.844136238098145,,,0,0,0.5
